Longitude;Quadrant;R_tangent_kpc;V_orb_tangent;R_kpc;V_lsr;Dist_1_kpc;Dist_2_kpc
30.0;1;4.25;185.55;5.04;75.55;4.65;10.07
30.0;1;;;6.0;45.87;3.13;11.59
30.0;1;;;7.13;21.14;1.64;13.09
30.0;1;;;7.71;11.25;0.93;13.8
30.0;1;;;13.03;-38.22;19.67;
25.0;1;3.59;191.56;4.13;98.59;5.67;9.73
25.0;1;;;4.31;90.34;5.32;10.09
25.0;1;;;5.26;57.36;3.87;11.54
25.0;1;;;5.9;40.87;3.02;12.39
25.0;1;;;6.29;32.63;2.54;12.87
25.0;1;;;7.03;19.44;1.66;13.75
25.0;1;;;8.24;2.95;0.29;15.12
25.0;1;;;13.63;-34.98;20.85;
20.0;1;2.91;93.33;6.85;18.09;1.78;14.19
20.0;1;;;8.32;1.6;0.19;15.79
20.0;1;;;13.1;-26.43;20.76;
15.0;1;2.2;155.53;3.11;98.59;6.01;10.41
15.0;1;;;6.07;22.73;2.55;13.87
15.0;1;;;7.46;7.89;1.08;15.34
15.0;1;;;11.15;-13.54;19.14;
10.0;1;1.48;61.29;5.3;23.09;3.28;13.46
10.0;1;;;6.53;11.54;2.01;14.73
5.0;1;0.74;18.96;8.59;-0.21;17.03;
